fn_name	evidence_kind	evidence	anchor
coding-agent/src/extensions.rs::new@55	existing-test	packages/coding-agent/test/extensions-registry.test.ts:59	expect(out.banners.length).toBe(1);
coding-agent/src/extensions.rs::register@61	existing-test	packages/coding-agent/test/extensions-registry.test.ts:59	expect(out.banners.length).toBe(1);
coding-agent/src/goal.rs::active@55	existing-test	packages/coding-agent/test/ported/goal.test.ts:176	expect(isGoalActive({ ...base, status: "pursuing" })).toBe(t
coding-agent/src/goal.rs::as_str@32	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:263	expect(activeOnes, "pursuing, paused and budget_limited all have to be active").toEqual(
coding-agent/src/goal.rs::clear@109	existing-test	packages/coding-agent/test/ported/goal.test.ts:163	expect(cleared).toMatchObject({ condition: "", status: "clea
coding-agent/src/goal.rs::current@69	existing-test	packages/coding-agent/test/ported/commands-e2e.test.ts:603	expect(await current(asGoalHarness(harness))).toBeUndefined(
coding-agent/src/goal.rs::pause@86	existing-test	packages/coding-agent/test/ported/goal.test.ts:148	await expect(pause(harness)).rejects.toThrow("no active goal
coding-agent/src/goal.rs::resume@96	existing-test	packages/coding-agent/test/ported/goal.test.ts:149	await expect(resume(harness)).rejects.toThrow("no paused goa
coding-agent/src/goal.rs::set@74	existing-test	packages/coding-agent/test/ported/commands-e2e.test.ts:557	expect(outcome.kind, `expected RunAgentPrompt, got ${JSON.st
coding-agent/src/goal.rs::stop_hook@223	existing-test	packages/coding-agent/test/ported/goal.test.ts:196	expect(decision.action).toEqual({ kind: "pause", reason: "go
coding-agent/src/history.rs::append@56	existing-test	packages/coding-agent/test/history.test.ts:28	expect(h.entries()).toEqual(["first", "second", "third"]);
coding-agent/src/history.rs::default_path@22	existing-test	packages/coding-agent/test/history.test.ts:127	expect(HistoryStore.defaultPath().endsWith("history")).toBe(true);
coding-agent/src/history.rs::entries@39	existing-test	packages/coding-agent/test/history.test.ts:28	expect(h.entries()).toEqual(["first", "second", "third"]);
coding-agent/src/history.rs::is_empty@49	existing-test	packages/coding-agent/test/history.test.ts:64	expect(h.isEmpty()).toBe(true);
coding-agent/src/history.rs::len@44	new-test	packages/coding-agent/test/ported/batch-a.test.ts:72	expect(HistoryStore.loadFrom(path).length).toBe(3);
coding-agent/src/history.rs::load@18	existing-test	packages/coding-agent/test/history.test.ts:133	expect(() => HistoryStore.load()).not.toThrow();
coding-agent/src/history.rs::load_from@26	existing-test	packages/coding-agent/test/history.test.ts:28	expect(h.entries()).toEqual(["first", "second", "third"]);
coding-agent/src/history.rs::save@72	existing-test	packages/coding-agent/test/history.test.ts:32	
coding-agent/src/hooks.rs::handle_event@315	existing-test	packages/coding-agent/test/hooks.test.ts:270	expect(body).toBe("tool_end bash ");
coding-agent/src/hooks.rs::handle_harness_event@322	not-portable	No implementation of that name here: handleHarnessEvent has no hits. Harness events go straight into handleEvent (hooks.ts), with no separate harness branch entry point.	
coding-agent/src/hooks.rs::is_empty@286	existing-test	packages/coding-agent/test/hooks.test.ts:194	expect(loaded.runner.isEmpty()).toBe(true);
coding-agent/src/hooks.rs::len@290	not-portable	Present here, but with no separate assertion: the observable consequence of HookRunner.len() coincides with isEmpty(), which already has evidence at hooks.test.ts:194. A test for len alone could only assert the count, from the same source.	
coding-agent/src/images.rs::infer_mime@15	existing-test	packages/coding-agent/test/image-attachments.test.ts:34	expect(inferMime(new Uint8Array(Buffer.concat([PNG_HEADER, Buffer.from("0000more")])))).toBe("image/png");
coding-agent/src/images.rs::load_all@66	existing-test	packages/coding-agent/test/image-attachments.test.ts:122	await expect(loadAllImages(paths)).rejects.toThrow(
coding-agent/src/images.rs::load_bytes@41	not-portable	No implementation of that name here: loadBytes has no hits. Reading bytes is inlined in loadAllImages (image-convert.ts), with no separate export.	
coding-agent/src/images.rs::load_one@32	not-portable	No implementation of that name here: loadOne has no hits. Loading a single image is likewise inlined in the loop inside loadAllImages.	
coding-agent/src/inbox.rs::append@47	existing-test	packages/coding-agent/test/ported/inbox.test.ts:39	
coding-agent/src/inbox.rs::default_inbox_path@42	new-test	packages/coding-agent/test/ported/batch-b.test.ts:144	expect(path.endsWith("inbox.jsonl")).toBe(true);
coding-agent/src/inbox.rs::dismiss_all_new@132	existing-test	packages/coding-agent/test/ported/inbox.test.ts:52	expect(dismissAllNew(path)).toBe(1);
coding-agent/src/inbox.rs::list@88	existing-test	packages/coding-agent/test/ported/inbox.test.ts:55	expect(list(path).length).toBe(2);
coding-agent/src/inbox.rs::list_new@101	existing-test	packages/coding-agent/test/ported/inbox.test.ts:42	expect(entries.length).toBe(2);
coding-agent/src/inbox.rs::new_count@110	existing-test	packages/coding-agent/test/ported/inbox.test.ts:34	expect(newCount(path)).toBe(0); // missing file counts as ze
coding-agent/src/inbox.rs::set_status@115	existing-test	packages/coding-agent/test/ported/inbox.test.ts:47	expect(claimed).toBeDefined();
coding-agent/src/local_models.rs::load_all@25	existing-test	packages/coding-agent/test/local-models.test.ts:337	expect(loaded.models.map((m) => m.baseUrl)).not.toContain("h
coding-agent/src/logging.rs::init@27	existing-test	packages/coding-agent/test/logging.test.ts:111	
coding-agent/src/lsp.rs::did_open@183	existing-test	packages/coding-agent/test/lsp.test.ts:337	expect(pushed?.uri).toBe(uri);
coding-agent/src/lsp.rs::initialize@163	existing-test	packages/coding-agent/test/lsp.test.ts:324	expect(initResult).toEqual({ capabilities: {} });
coding-agent/src/lsp.rs::spawn@69	existing-test	packages/coding-agent/test/lsp.test.ts:324	expect(initResult).toEqual({ capabilities: {} });
coding-agent/src/markdown.rs::new@121	existing-test	packages/tui/test/markdown.test.ts:61	assert.ok(plainLines.some((line) => line.includes("    - Nested 1.1")));
coding-agent/src/markdown.rs::render_line@20	existing-test	packages/tui/test/markdown-stream.test.ts:16	
coding-agent/src/markdown.rs::render_line@124	existing-test	packages/tui/test/markdown-stream.test.ts:16	
coding-agent/src/mentions.rs::expand@26	existing-test	packages/coding-agent/test/mentions.test.ts:109	expect(result.prompt).toBe("just a regular prompt");
coding-agent/src/model_picker.rs::back@138	existing-test	packages/coding-agent/test/model-picker.test.ts:216	expect(p.back()).toBe(false); // back to providers…
coding-agent/src/model_picker.rs::down@101	existing-test	packages/coding-agent/test/model-picker.test.ts:208	expect(p.enter()).toBe("anthropic:claude-opus-4-8");
coding-agent/src/model_picker.rs::enter@109	existing-test	packages/coding-agent/test/model-picker.test.ts:205	expect(p.enter()).toBeUndefined(); // descend into anthropic
coding-agent/src/model_picker.rs::new@81	existing-test	packages/coding-agent/test/model-picker.test.ts:205	expect(p.enter()).toBeUndefined(); // descend into anthropic
coding-agent/src/model_picker.rs::up@97	existing-test	packages/coding-agent/test/model-picker.test.ts:226	expect(p.cursor).toBe(0);
coding-agent/src/model_picker.rs::view@150	existing-test	packages/coding-agent/test/model-picker.test.ts:315	
coding-agent/src/model.rs::auto_detect_model@23	existing-test	packages/coding-agent/test/local-models-registry-wiring.test.ts:99	expect(model.provider).toBe("ds4");
coding-agent/src/model.rs::credential_less_default@74	existing-test	packages/coding-agent/test/ported/model-detect.test.ts:21	
coding-agent/src/oauth.rs::authorize_url@62	existing-test	packages/coding-agent/test/oauth.test.ts:122	
coding-agent/src/oauth.rs::await_callback@86	existing-test	packages/coding-agent/test/oauth.test.ts:199	
coding-agent/src/oauth.rs::exchange_code@158	existing-test	packages/coding-agent/test/oauth.test.ts:298	
coding-agent/src/oauth.rs::refresh_token@135	existing-test	packages/coding-agent/test/oauth.test.ts:360	
coding-agent/src/otlp.rs::try_layer@30	existing-test	packages/coding-agent/test/otlp.test.ts:43	expect(tryLayer()).toBeUndefined();
coding-agent/src/readline.rs::from_registry@19	not-portable	Named differently here: upstream's from_registry was folded into SlashCompleter.fromRegistryAndSkills (readline.ts:155); the single-argument version does not exist separately. Its behavioral evidence is on the from_registry_and_skills row.	
coding-agent/src/readline.rs::from_registry_and_skills@23	existing-test	packages/coding-agent/test/readline.test.ts:66	expect(c.matches("/d")).toContain("/db9");
coding-agent/src/readline.rs::matches@43	existing-test	packages/coding-agent/test/readline.test.ts:35	expect(m).toContain("/help");
coding-agent/src/resume_picker.rs::pick_blocking@157	not-portable	No implementation of that name here: pickBlocking has no hits. Upstream uses a blocking TUI picker; session selection here goes through a non-blocking interactive picker in main.ts, promise-shaped, with no blocking variant.	
coding-agent/src/session_archive.rs::activate_imported@321	existing-test	packages/coding-agent/test/session-archive.test.ts:247	
coding-agent/src/session_archive.rs::default_export_path@360	existing-test	packages/coding-agent/test/session-archive.test.ts:415	expect(defaultExportPath("/some/cwd", "0199abcd-ef01-7234-80
coding-agent/src/session_archive.rs::export_session@115	existing-test	packages/coding-agent/test/session-archive.test.ts:188	
coding-agent/src/session_archive.rs::import_session@202	existing-test	packages/coding-agent/test/session-archive.test.ts:175	
coding-agent/src/session/mod.rs::any_enabled@249	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:81	expect(automationCountsAnyEnabled(counts)).toBe(true);
coding-agent/src/session/mod.rs::automation_counts@295	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:65	expect(isAutomationCountsEmpty(counts)).toBe(true);
coding-agent/src/session/mod.rs::automation_elsewhere_hint@315	existing-test	packages/coding-agent/test/session-dir-purity.test.ts:78	expect(hint).toBeUndefined();
coding-agent/src/session/mod.rs::badge@255	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:214	expect(automationCountsBadge({ cronEnabled: 2, triggerEnabled: 1, cronTotal: 2, triggerTotal: 1 })).toBe(
coding-agent/src/session/mod.rs::create@77	existing-test	packages/coding-agent/test/rpc.test.ts:255	expect(state.messageCount).toBe(0);
coding-agent/src/session/mod.rs::cron_sidecar_path@30	new-test	packages/coding-agent/test/ported/batch-a.test.ts:105	expect(cronSidecarPath("/tmp/sessions/abc.jsonl")).toBe("/tm
coding-agent/src/session/mod.rs::cron_sidecar_path_for_session@60	not-portable	No implementation of that name here: `cronSidecarPathForSession` has no hits under packages/*/src. Only cronSidecarPath(sessionPath) exists; deriving a sidecar path from a session id is left to the caller on this side.	
coding-agent/src/session/mod.rs::delete_by_id@164	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:202	
coding-agent/src/session/mod.rs::endpoint_sidecar_path@55	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:49	expect(endpointSidecarPath(path)).toBe(join("/tmp", "session
coding-agent/src/session/mod.rs::find_path_by_id@222	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:153	expect(findSessionPathById(tempDir, id)).toBe(path);
coding-agent/src/session/mod.rs::is_empty@245	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:65	expect(isAutomationCountsEmpty(counts)).toBe(true);
coding-agent/src/session/mod.rs::list_entries@100	existing-test	packages/coding-agent/test/session-manager/file-operations.test.ts:40	expect(loadEntriesFromFile(file)).toEqual([]);
coding-agent/src/session/mod.rs::newest_path@228	existing-test	packages/coding-agent/test/session-manager/pie-session-helpers.test.ts:173	expect(() => resolveResumeSessionPath(tempDir)).toThrow(`no 
coding-agent/src/session/mod.rs::resume@82	new-test	packages/coding-agent/test/ported/batch-a.test.ts:133	expect(() => resolveResumeSessionPath(dir)).toThrow(`no sess
coding-agent/src/session/mod.rs::trigger_sidecar_path@25	new-test	packages/coding-agent/test/ported/batch-a.test.ts:100	expect(triggerSidecarPath("/tmp/sessions/abc.jsonl")).toBe("
coding-agent/src/session/mod.rs::trigger_sidecar_path_for_session@38	not-portable	No implementation of that name here: `triggerSidecarPathForSession` has no hits under packages/*/src. The same shape as the cron side — only triggerSidecarPath(sessionPath) exists, and the by-session-id layer was not ported.	
coding-agent/src/skills_state.rs::apply@124	existing-test	packages/coding-agent/test/ported/skills-state-batch-c.test.ts:56	expect(out[0]?.disableModelInvocation).toBe(true);
coding-agent/src/skills_state.rs::load@88	existing-test	packages/coding-agent/test/ported/skills-state-batch-c.test.ts:146	expect((await loadSkillsState(dir)).overrides).toEqual([]);
coding-agent/src/skills_state.rs::lookup@47	existing-test	packages/coding-agent/test/ported/skills-state-batch-c.test.ts:174	expect(loaded.overrides).toHaveLength(2);
coding-agent/src/skills_state.rs::remove@73	existing-test	packages/coding-agent/test/ported/skills-state-batch-c.test.ts:121	expect(removed).toBe(true);
coding-agent/src/skills_state.rs::remove_and_save@151	existing-test	packages/coding-agent/test/ported/skills-state-batch-c.test.ts:190	expect(afterRemove, "removeAndSave cleared it on disk, not just 
coding-agent/src/skills_state.rs::save@100	existing-test	packages/coding-agent/test/ported/skills-state-batch-c.test.ts:174	
coding-agent/src/skills_state.rs::set@54	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:135	expect(next.overrides).toEqual([{ name: "alpha", source: "user", enabled: false }]);
coding-agent/src/skills_state.rs::set_and_save@135	existing-test	packages/coding-agent/test/ported/skills-state-batch-c.test.ts:174	expect(loaded.overrides).toHaveLength(2);
coding-agent/src/skills_state.rs::state_path@82	existing-test	packages/coding-agent/test/ported/skills-state-batch-c.test.ts:158	expect((await loadSkillsState(dir)).overrides, "malformed ov
coding-agent/src/spinner.rs::as_string@68	existing-test	packages/coding-agent/test/spinner.test.ts:65	expect(
coding-agent/src/spinner.rs::new@62	existing-test	packages/coding-agent/test/spinner.test.ts:186	expect(writes).toEqual([`${CLEAR_LINE}⠋ thinking`, CLEAR_LIN
coding-agent/src/spinner.rs::snapshot@65	existing-test	packages/coding-agent/test/spinner.test.ts:48	expect(body.includes("⠋"), `frame 0 missing from synchronous
coding-agent/src/spinner.rs::start@125	existing-test	packages/coding-agent/test/spinner.test.ts:181	expect(writes, "a non-TTY stderr must never be written to").
coding-agent/src/spinner.rs::start_with@132	existing-test	packages/coding-agent/test/spinner.test.ts:48	expect(body.includes("⠋"), `frame 0 missing from synchronous
coding-agent/src/spinner.rs::stop_sync@100	existing-test	packages/coding-agent/test/spinner.test.ts:80	expect(cleared, `stopSync must emit the clear escape immediately, got ${JSON.stringify(cleared)}`).toBe(
coding-agent/src/tools/install_skill.rs::new@91	existing-test	packages/coding-agent/test/install-skill.test.ts:55	expect(def.name).toBe("InstallSkill");
coding-agent/src/tools/install_skill.rs::with_skills_root@98	not-portable	Named differently here: withSkillsRoot has no hits. The skills root is passed through options.agentDir on createInstallSkillToolDefinition, rather than a builder-style with_* method.	
coding-agent/src/tools/mcp_adapter.rs::new@28	not-portable	Named differently here: mcpToolDefinition has no hits. MCP tools are built directly as a ToolDefinition by mcp-loader.ts, with no separate adapter class or constructor.	
coding-agent/src/tools/mod.rs::remove_cron_job_tool@135	not-portable	No factory of that name here: createRemoveCronJobToolDefinition has no hits. Cron tools are registered into the tool table directly by modules under triggers/, without upstream's tools/mod.rs factory layer.	
coding-agent/src/tools/mod.rs::remove_skill_tool@115	existing-test	packages/coding-agent/test/remove-skill-tool.test.ts:61	expect(def.name).toBe("RemoveSkill");
coding-agent/src/tools/mod.rs::remove_trigger_tool@165	not-portable	Structural difference: upstream's tools/mod.rs is a factory layer. Here packages/coding-agent/src/triggers/tool-definitions.ts produces the ToolDefinition directly and registers it through tools/index.ts, so there is no remove_trigger_tool factory to test.	
coding-agent/src/tools/mod.rs::set_cron_job_state_tool@142	not-portable	Structural difference: as above — packages/coding-agent/src/triggers/tool-definitions.ts produces the set_cron_job_state ToolDefinition directly, without upstream's tools/mod.rs factory layer.	
coding-agent/src/tools/mod.rs::set_skill_state_tool@108	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:301	expect(def.name).toBe("SetSkillState");
coding-agent/src/tools/mod.rs::set_trigger_state_tool@171	not-portable	Structural difference: as above — set_trigger_state is defined in packages/coding-agent/src/triggers/tool-definitions.ts and registered through tools/index.ts, with no standalone factory function.	
coding-agent/src/tools/remove_skill.rs::new@47	existing-test	packages/coding-agent/test/remove-skill-tool.test.ts:61	expect(def.name).toBe("RemoveSkill");
coding-agent/src/tools/set_skill_state.rs::new@56	existing-test	packages/coding-agent/test/set-skill-state-tool.test.ts:57	expect(def.name).toBe("SetSkillState");
coding-agent/src/tools/skill_builder.rs::new@46	existing-test	packages/coding-agent/test/skill-builder.test.ts:52	expect(def.name).toBe("SkillBuilder");
coding-agent/src/tools/skill_builder.rs::with_skills_root@50	not-portable	Structural difference: upstream uses a chained builder method. Here packages/coding-agent/src/tools/install-skill.ts:208 takes an optional field `skillsRoot?: string`, defaulting through defaultSkillsRoot(getAgentDir()), so there is no chained with_skills_root setter.	
coding-agent/src/tools/skill.rs::new@42	existing-test	packages/coding-agent/test/skill-tool.test.ts:54	expect(def.name).toBe("Skill");
coding-agent/src/tools/truncate.rs::truncate_head@29	existing-test	packages/agent/test/harness/truncate.test.ts:69	expect(result.truncated).toBe(false);
coding-agent/src/tools/truncate.rs::truncate_tail@54	existing-test	packages/agent/test/harness/truncate.test.ts:98	expect(result.content).toBe("🙂b");
coding-agent/src/tools/web_search.rs::new@31	existing-test	packages/coding-agent/test/web-search-tool.test.ts:33	expect(params.required).toContain("query");
coding-agent/src/triggers/cron.rs::add_job@113	existing-test	packages/coding-agent/test/ported/calibration-batch.test.ts:83	expect(traceId).toBeDefined();
coding-agent/src/triggers/cron.rs::add_job_full@117	existing-test	packages/coding-agent/test/ported/cron.test.ts:173	expect(job.stateful).toBe(true);
coding-agent/src/triggers/cron.rs::job_for_trace@245	new-test	packages/coding-agent/test/ported/batch-b.test.ts:80	expect(registry.jobForTrace(traceId)?.id).toBe(job.id);
coding-agent/src/triggers/cron.rs::list@106	existing-test	packages/coding-agent/test/ported/calibration-batch.test.ts:52	expect(registry.list()).toEqual([]);
coding-agent/src/triggers/cron.rs::load_from_path@86	existing-test	packages/coding-agent/test/ported/cron.test.ts:116	expect(jobs.length).toBe(1);
coding-agent/src/triggers/cron.rs::mark_completed@254	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:89	expect(after?.running_trace_id).toBeUndefined();
coding-agent/src/triggers/cron.rs::new@82	new-test	packages/coding-agent/test/ported/batch-b.test.ts:22	expect(new CronRegistry().list()).toEqual([]);
coding-agent/src/triggers/cron.rs::remove_job@162	new-test	packages/coding-agent/test/ported/batch-b.test.ts:47	expect(removed?.id).toBe(job.id);
coding-agent/src/triggers/cron.rs::set_job_enabled@177	existing-test	packages/coding-agent/test/ported/cron-tool-bugs.test.ts:97	expect(globalCronRegistry().setJobEnabled(jobId, true)?.enab
coding-agent/src/triggers/cron.rs::storage_path@102	existing-test	packages/coding-agent/test/ported/cron-tool-bugs.test.ts:152	expect(sidecar).toBeDefined();
coding-agent/src/triggers/dynamic.rs::add_from_spec@133	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:295	expect(action.prompt).toContain(rule.id);
coding-agent/src/triggers/dynamic.rs::add_rule@91	existing-test	packages/coding-agent/test/ported/calibration-batch.test.ts:44	expect(registry.clearRules()).toBe(2);
coding-agent/src/triggers/dynamic.rs::add_rule_with_flags@108	new-test	packages/coding-agent/test/ported/batch-b.test.ts:117	expect([rule.fire_once, rule.promote_to_chat]).toEqual([fals
coding-agent/src/triggers/dynamic.rs::add_rule_with_options@99	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:226	expect(changed).toEqual([]);
coding-agent/src/triggers/dynamic.rs::clear_rules@197	new-test	packages/coding-agent/test/ported/calibration-batch.test.ts:44	expect(registry.clearRules()).toBe(2);
coding-agent/src/triggers/dynamic.rs::list@152	existing-test	packages/coding-agent/test/ported/calibration-batch.test.ts:52	expect(registry.list()).toEqual([]);
coding-agent/src/triggers/dynamic.rs::load_from_path@75	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:166	expect(reloaded.list()).toEqual([rule]);
coding-agent/src/triggers/dynamic.rs::mark_rules_fired@210	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:211	expect(changed).toHaveLength(1);
coding-agent/src/triggers/dynamic.rs::new@71	new-test	packages/coding-agent/test/ported/batch-b.test.ts:94	expect(new DynamicTriggerRegistry().list()).toEqual([]);
coding-agent/src/triggers/dynamic.rs::remove_rule@156	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:197	expect(removed).toEqual(rule);
coding-agent/src/triggers/dynamic.rs::set_rule_enabled@174	existing-test	packages/coding-agent/test/ported/dynamic.test.ts:242	expect(updated?.enabled).toBe(true);
coding-agent/src/triggers/dynamic.rs::storage_path@87	not-portable	Different shape here: storagePath in dynamic.ts is a **private field** of DynamicTriggerRegistryState (dynamic.ts:336/340), not a public method as upstream has. The cron side has a method of the same name, but that belongs to a different registry and cannot stand as evidence for this function.	
coding-agent/src/triggers/mcp_notification_hook.rs::new@90	existing-test	packages/coding-agent/test/ported/mcp-notification-hook.test.ts:401	expect(hook.status().state).toEqual({ kind: "disconnected", 
coding-agent/src/tui.rs::render_event@142	existing-test	packages/coding-agent/test/ported/tui-render-e2e.test.ts:313	
coding-agent/src/tui.rs::render_harness_event@213	existing-test	packages/coding-agent/test/ported/tui-render-e2e.test.ts:249	
coding-agent/src/tui.rs::render_persisted@452	existing-test	packages/coding-agent/test/ported/tui-render-e2e.test.ts:313	
coding-agent/src/ui/feed.rs::clear@176	existing-test	packages/coding-agent/test/ui/feed.test.ts:317	expect(feed.lines(80)).toEqual([]);
coding-agent/src/ui/feed.rs::new@168	existing-test	packages/coding-agent/test/ui/feed.test.ts:122	expect(
coding-agent/src/ui/feed.rs::push_user@183	existing-test	packages/coding-agent/test/ui/feed.test.ts:110	expect(rendered).toContain("you ▸ do the thing");
coding-agent/src/ui/mod.rs::new@189	not-portable	Present here, but needs a real terminal: constructing InteractiveMode (interactive-mode.ts:267) requires a TTY and the full services graph, and no test anywhere constructs it directly. Its behavior is covered by parity scenario S2, the dual-run TUI comparison.	
coding-agent/src/ui/mod.rs::run@354	not-portable	Needs a real terminal: the TUI main loop. The counterpart here is packages/coding-agent/src/ui/index.ts, 1903 lines, but run is a continuous rendering loop that a hermetic unit test cannot reach. Parity scenario S2 holds it by comparing upstream and TypeScript TUI output byte for byte — stronger than any unit test, only not expressible as <path>:<line>.	
coding-agent/src/ui/relay.rs::start@170	existing-test	packages/coding-agent/test/ui/relay.test.ts:288	expect(hello.type).toBe("hello");
coding-agent/src/ui/web.rs::run_web@217	existing-test	packages/coding-agent/test/ui/web.test.ts:525	expect(state.session_id).toBe("sess-1");
mcp/src/client.rs::initialize@189	existing-test	packages/mcp/test/ported/client-fixture.test.ts:173	expect(init.serverInfo.name).toBe("mock-server");
mcp/src/client.rs::tools_call@232	existing-test	packages/mcp/test/ported/client-fixture.test.ts:181	expect(res.isError).toBe(false);
mcp/src/client.rs::tools_list@213	existing-test	packages/mcp/test/ported/client-fixture.test.ts:177	expect(tools.length).toBe(1);
mcp/src/http.rs::bearer@93	existing-test	packages/coding-agent/test/mcp-loader.test.ts:557	
mcp/src/http.rs::connect@115	not-portable	Present here, but needs a real HTTP endpoint: connect() performs a network handshake that a hermetic test cannot cover. Its behavior is covered indirectly by the flow in http-fixture.test.ts, but no assertion points at connect itself.	
mcp/src/http.rs::new@81	not-portable	A private constructor here: HttpMcpTransport's constructor is private (http.ts:333) and instances can only be made through connect(), so there is no separately testable new.	
mcp/src/http.rs::set_auth@157	not-portable	Present here, but with no separate test surface: setAuth(auth) only stores the credential on the transport (http.ts:372); every effect appears in later request headers, which http-fixture's assertions already cover. A test for it alone could only assert that what went in comes back out — a tautology.	
mcp/src/protocol.rs::make_notification@157	new-test	packages/mcp/test/ported/batch-d.test.ts:40	expect("id" in makeNotification("notifications/cancelled", {
mcp/src/protocol.rs::make_request@144	new-test	packages/mcp/test/ported/batch-d.test.ts:27	expect(makeRequest(1, "initialize", undefined).id).toBe(1);
mcp/src/stdio.rs::spawn@28	not-portable	Present here, but needs a real child process: spawn starts an MCP server process, which is awkward to cover hermetically; client-fixture.test.ts uses an in-memory transport rather than stdio.	
agent/src/agent.rs::enqueue_steering@150	existing-test	packages/agent/test/ported/batch-c.test.ts:72	expect(agent.hasQueuedMessages()).toBe(true);
agent/src/harness/agent_harness.rs::format_skill@2156	existing-test	packages/agent/test/harness/resource-formatting.test.ts:14	expect(formatSkillInvocation(skill, "Check errors.")).toBe(
agent/src/harness/agent_harness.rs::replace_tools@1561	existing-test	packages/agent/test/harness/agent-harness.test.ts:422	expect(captured).toEqual([
agent/src/harness/utils/truncate.rs::truncate_text@7	existing-test	packages/agent/test/harness/truncate.test.ts:69	expect(result.truncated).toBe(false);
ai/src/utils/json_parse.rs::parse_partial_json@11	existing-test	packages/ai/test/json-parse.test.ts:17	expect(parseStreamingJson('{"a": 1, "b": "two"}')).toEqual({ a: 
ai/src/utils/node_http_proxy.rs::proxy_from_env@9	existing-test	packages/ai/test/node-http-proxy.test.ts:45	expect(resolveHttpProxyUrlForTarget("https://bedrock-runtime.us-
ai/src/providers/faux.rs::append_faux_responses@32	existing-test	packages/ai/test/faux-provider.test.ts:155	expect(registration.getPendingResponseCount()).toBe(2);
coding-agent/src/triggers/cron.rs::next_run_after@63	existing-test	packages/coding-agent/test/ported/cron.test.ts:98	expect(next).toBeDefined();
ai/src/utils/oauth/pkce.rs::generate_pkce@12	new-test	packages/ai/test/ported/batch-u.test.ts:29	expect(verifier).toMatch(/^[A-Za-z0-9\-._~]{43,128}$/);
ai/src/utils/sanitize_unicode.rs::sanitize_surrogates_u16@14	new-test	packages/ai/test/ported/batch-u.test.ts:45	expect(sanitizeSurrogates("hello 😀 世界")).toBe("hello 😀 世界");
ai/src/api_registry.rs::list_api_ids@98	new-test	packages/ai/test/ported/batch-u.test.ts:76	expect(getApiProviders().map((p) => p.api)).toEqual(["openai-com
ai/src/providers/simple_options.rs::translate_base@10	new-test	packages/ai/test/ported/batch-u.test.ts:87	expect(out.apiKey).toBe("sk-test");
ai/src/event_stream.rs::message_type@50	not-portable	A real capability gap: reading the `:message-type` header belongs to AWS eventstream binary frame parsing. packages/ai/src/event-stream.ts **does not exist** — the probe's basename fallback mismatched it onto utils/event-stream.ts, which corresponds to a different upstream file, utils/event_stream.rs. bedrock-provider.ts is 6 lines of placeholder.	
ai/src/event_stream.rs::parse_message@79	not-portable	A real capability gap: the AWS binary frame parser that reads the 12-byte prelude. packages/ai/src/event-stream.ts does not exist, a repo-wide grep for `crc32` and `vnd.amazon.eventstream` finds nothing, and Bedrock support amounts to the 6-line placeholder module bedrock-provider.ts.	
ai/src/bedrock_anthropic.rs::ingest@59	not-portable	A real capability gap: ingesting Anthropic frames from Bedrock. The probe reports no file — there is no bedrock-anthropic.ts under packages/ai/src, and Bedrock here is the 6-line placeholder bedrock-provider.ts.	
ai/src/bedrock_provider.rs::invoke_stream@114	not-portable	A real capability gap: Bedrock's `:invoke-with-response-stream`. packages/ai/src/bedrock-provider.ts is **6 lines** exporting a bedrockProviderModule placeholder; the probe reports hint=stub.	
agent/src/harness/types.rs::with_path@60	not-portable	Structural difference: upstream has the FileError builder method `with_path(path) -> Self`. Here the FileError constructor at packages/agent/src/harness/types.ts:140 takes `path?: string` as its third argument directly, with no chained setter.	
agent/src/harness/session/memory_storage.rs::with_metadata@36	not-portable	Structural difference: upstream has the constructor variant `with_metadata(metadata) -> Self`. Here the InMemorySessionStorage constructor at packages/agent/src/harness/session/memory-storage.ts:34 takes metadata directly, with no separate named variant.	
coding-agent/src/tools/remove_skill.rs::with_base_dir@51	not-portable	Structural difference: upstream sets the base dir through a builder chain. Here packages/coding-agent/src/tools/remove-skill.ts passes it as an options field, the same shape as skillsRoot in install-skill.ts, with no with_base_dir method.	
coding-agent/src/tools/set_skill_state.rs::with_base_dir@60	not-portable	Structural difference: as above — packages/coding-agent/src/tools/set-skill-state.ts passes the base dir through options, without upstream's chained with_base_dir.	
